round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,last_activation,losses,lr,optimizer,shape,weight_regulizer
100,0.1796261721960852,0.10186916,0.18134328945359188,0.09328358,relu,32,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17925234113898234,0.103738315,0.17947761758939543,0.10261194,relu,32,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.0005193352365448878,0.99719626,0.0037249381522926014,0.97761196,relu,32,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.17878503259097303,0.106074765,0.1835820683792456,0.08208955,relu,32,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.18037383548010175,0.098130845,0.1746268697194199,0.12686567,relu,32,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18046729333489855,0.09766355,0.18320895753689667,0.08395522,relu,32,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18009346294625897,0.09953271,0.17574627497302953,0.12126866,relu,32,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.18009346302981688,0.09953271,0.17574627430581335,0.12126866,relu,32,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.17962617286454852,0.10186916,0.18134328589510562,0.09328358,relu,32,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.18037383681702837,0.098130845,0.17462687194347382,0.12686567,relu,32,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.1796261724189063,0.10186916,0.18134328700713256,0.09328358,relu,32,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.1796261709984218,0.10186916,0.1813432887863757,0.09328358,relu,32,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.3690141985349564,0.10046729,2.3433473786311363,0.08395522,relu,32,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.3529076585145754,0.09672897,2.363666552216259,0.08208955,relu,32,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3029547847319987,0.09158879,2.306556392071852,0.08208955,relu,32,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.3033493193510535,0.091121495,2.3060175376151926,0.08208955,relu,32,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.3674483325993902,0.106074765,2.344476151822218,0.104477614,relu,32,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,2.391019674105065,0.10186916,2.386081101289436,0.09701493,relu,32,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.6352789557982828,0.092523366,2.7510481699189144,0.106343284,relu,32,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.821982536137661,0.09953271,2.795264425562389,0.12686567,relu,32,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.313072784815993,0.09018692,2.303877606320737,0.09328358,relu,32,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.141014436472242,0.18224299,2.121658485327194,0.19402985,relu,32,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,5.42888823981597,0.113084115,4.874810453671128,0.09701493,relu,32,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,5.5209212998363455,0.09719626,5.36981201171875,0.08208955,relu,32,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.1796261726974327,0.10186916,0.1813432883415649,0.09328358,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17878505275628276,0.106074765,0.18358209417827093,0.08208955,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.0003729659322972264,0.99813086,0.0035649823506588942,0.98134327,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.00027851052772875337,0.99859816,0.0027367993153795886,0.97761196,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.1792523403869611,0.103738315,0.17947761536534154,0.10261194,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.17962617225179048,0.10186916,0.18358209173181164,0.08208955,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18037383703984947,0.098130845,0.1746268701642307,0.12686567,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17878505172573517,0.106074765,0.18358209173181164,0.08208955,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.1811214983184761,0.09439252,0.17910448294966969,0.104477614,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.1792523406097822,0.103738315,0.17947761714458466,0.10261194,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.18046729355771965,0.09766355,0.18320895753689667,0.08395522,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18037383561936493,0.098130845,0.17462687305550076,0.12686567,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.3655786821775346,0.09439252,2.444020068467553,0.09701493,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.373222946006561,0.08971962,2.386897229436618,0.09701493,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3029953898670517,0.09392523,2.3063271899721514,0.08208955,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,1.3942474155782538,0.36401868,1.4235338043810717,0.40485075,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.39259279687828,0.098130845,2.4216708674359677,0.10261194,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,2.3777147217331644,0.1135514,2.4141146353821257,0.08395522,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.7248514224435683,0.098130845,2.8777895685452135,0.08395522,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.84919347451112,0.098130845,2.743363088636256,0.12126866,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3108050863319467,0.09439252,2.306912005837284,0.12126866,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.311258517024673,0.08971962,2.3160601765362183,0.08208955,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,5.855587149112024,0.10186916,5.276433795245726,0.12126866,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,5.526920159063606,0.11635514,97.11858695300657,0.108208954,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18037383531298593,0.098130845,0.1813432885639703,0.09328358,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.181028041410669,0.094859816,0.1813432865623218,0.09328358,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.02195696850594516,0.8406542,0.010411651513136146,0.95335823,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.025900724035835713,0.78831774,0.007916823993854002,0.9477612,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.1801919743836483,0.09906542,0.17574627386100256,0.12126866,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
